color,part,quantity,part_id
Black,Tread Small - Old - Wedge Shaped Treads,2,x486a
Blue,Electric 4.5V Battery Box 7 x 11 x 3 Type 1 (Complete),1,468c01
Blue,"Electric, Connector, 1 Way male Rounded with Cross-Cut Pin (Banana Plug)",4,996bc01
Blue,"Electric, Motor 4.5V Type I 12 x 4 x 4 with 4.5V stamped on front",1,bb07pb01
Light Gray,Plate 4 x 8,1,3035
Red,Brick 1 x 2 with White Old Style LEGO Logo with Black Outline Print,1,3004p50
Red,Brick Round 1 x 1 Solid Stud,2,3062a
Red,Hinge Plate 2 x 5 [Complete Assembly],4,3149c01
Red,Plate 1 x 2,2,3023
Red,Plate 2 x 3,2,3021
Red,Plate 2 x 4,3,3020
Red,Wheel Old with 4 Studs and Axle Cam for Motor,4,7039b
Trans-Clear,Brick 1 x 1,3,3005
Trans-Clear,Brick 1 x 2,5,3004
Trans-Clear,Brick 1 x 4,2,3010
Trans-Clear,Brick 1 x 6,1,3009
White,"Electric, Wire 12V / 4.5V with two Leads, unspecified length",1,x466
Yellow,Brick 1 x 2,6,3004
Yellow,Brick 1 x 4,4,3010
Yellow,Brick 1 x 6,1,3009
Yellow,Brick 1 x 8,2,3008
Yellow,Brick 2 x 4 without Cross Supports,1,3001old
Yellow,Plate 2 x 3,7,3021
Yellow,Plate 2 x 4,4,3020
