color,part,quantity,part_id
Black,Cone 1 x 1 [No Top Groove],2,4589
Black,Minifig Space Gun / Torch,2,3959
Black,Plate Special 1 x 2 with 1 Stud [aka Jumper],1,3794
Black,Plate Special 1 x 2 with Handles [Flat Ends / Low Attachment],1,3839b
Black,Plate Special 2 x 2 with Wheels Red,3,122c01
Black,Tyre Offset Tread Medium,2,4084
Black,Tyre Offset Tread Small,4,3641
Black,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
Blue,Brick 1 x 2,1,3004
Blue,Brick Special 1 x 1 with Headlight,2,4070
Blue,Hips and Legs [Complete Assembly],1,970c00
Blue,Mudguard 2 x 4 [Studded],1,3788
Blue,Plate 1 x 2,3,3023
Blue,Plate 1 x 4,2,3710
Blue,Plate 2 x 4,1,3020
Blue,"Plate Special 2 x 2 with Towball Socket, Short, 4 Slots",1,3730
Blue,Slope 45º 2 x 4,2,3037
Red,Minifig Construction Helmet,1,3833
Trans-Red,Plate 1 x 1,2,3024
Trans-Yellow,Plate Round 1 x 1 Straight Side,2,4073
White,Plate 2 x 4,1,3020
White,Plate Special 2 x 2 with Towball,1,3731
White,Torso Overalls Blue Print (Dungarees) / White Arms / Yellow Hands,1,973pb201c01
Yellow,Minifig Head Standard Grin Print - Solid Stud,1,3626ap01
Yellow,Minifig Seat 2 x 2,1,4079
