color,part,quantity,part_id
Black,Flexible Hose 8.5L [Tabless Ends Tube Coloured],1,73590c01a
Black,Lever Small Base with Black Lever,2,298c02
Black,Minifig Camera with Side Sight [aka Space Gun],1,4360
Black,Minifig Radio [Extended Handle],1,3962b
Black,Plate Round 2 x 2 with Axle Hole,1,4032
Black,Wheel Full Rubber Balloon with Axle hole,6,4288
Blue,Brick 2 x 2,1,3003
Blue,Hinge Plate 2 x 9 - Complete Assembly,1,3324c01
Blue,Plate 2 x 4,2,3020
Blue,Slope 45° 2 x 2 with Computer Panel Print,1,3039p34
Blue,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
Light Gray,Bracket 3 x 2 - 2 x 2 [aka Space Seat],3,4598
Light Gray,Lever Small Base with Black Lever,2,298c02
Light Gray,Minifig Space Gun / Torch,1,3959
Light Gray,Plate 1 x 4,1,3710
Light Gray,Plate 2 x 3,1,3021
Light Gray,Plate 2 x 4,1,3020
Light Gray,Plate 4 x 6,1,3032
Light Gray,Plate Special 1 x 2 with 1 Stud [aka Jumper],1,3794
Light Gray,Plate Special 1 x 2 with Arm Up [Horizontal Arm 6mm],1,4623
Light Gray,Plate Special 1 x 2 with Long Stud Receptacle (Space Wing),6,4596
Light Gray,Plate Special 1 x 4 Offset,2,4590
Light Gray,Plate Special 2 x 2 with Wheels Red,3,122c01
Red,Hips and Legs [Complete Assembly],1,970c00
Red,Minifig Airtanks,1,3838
Red,Minifig Helmet Classic with Thick Chin Guard and Visor Dimples,1,3842b
Red,Torso Space Classic Moon Print / Red Arms / Red Hands,1,973p90c02
Trans-Green,Dish 2 x 2 Inverted [Radar],2,4740
Trans-Red,"Brick, Round 1 x 1 with Fins",2,4588
Trans-Red,Cone 1 x 1 [No Top Groove],3,4589
Trans-Red,Dish 2 x 2 Inverted [Radar],1,4740
Trans-Red,Tile 1 x 1 with Groove,2,3070b
Yellow,Hips and Legs [Complete Assembly],1,970c00
Yellow,Minifig Airtanks,1,3838
Yellow,Minifig Head Standard Grin Print - Solid Stud,2,3626ap01
Yellow,Minifig Helmet Classic with Thick Chin Guard and Visor Dimples,1,3842b
Yellow,Torso Space Classic Moon Print / Yellow Arms / Yellow Hands,1,973p90c04
