color,part,quantity,part_id
Black,Brick 1 x 1,6,3005
Black,Hinge Brick 1 x 2 Base,2,3937
Black,Hinge Brick 1 x 2 Top Plate Thin,2,3938
Black,"Horse with Black Eyes Circled with White, Brown Bridle Print",1,4493c01pb02
Black,Minifig Hood / Cowl / Farmer's Cap,2,4505
Black,Plate 1 x 10,2,4477
Black,Plate 1 x 2,4,3023
Black,Plate 1 x 4,1,3710
Black,Plate 1 x 8,2,3460
Black,Plate 2 x 10,1,3832
Black,Plate 2 x 2,4,3022
Black,Plate 2 x 3,6,3021
Black,Plate 2 x 4,1,3020
Black,Plate 4 x 10,1,3030
Black,Plate 4 x 4,1,3031
Black,Plate Special 2 x 2 with Wheel Holder,4,4488
Black,Slope Inverted 33º 3 x 1,4,4287
Black,Slope Inverted 45º 2 x 1,2,3665
Black,Tile 1 x 4,2,2431
Black,"Turntable 2 x 2 Plate with Hinge, Base",1,251
Blue,Brick 1 x 2,2,3004
Blue,Hinge Plate 1 x 2 with 2 Fingers and Hollow Studs,4,4276b
Blue,Hinge Plate 1 x 2 with 3 Fingers and Hollow Studs,4,4275b
Blue,Hinge Plate 1 x 6 with 2 and 3 Fingers On Ends,1,4504
Blue,Hinge Plate 1 x 6 with 2 and 3 Fingers On Sides,1,4507
Blue,Hips and Legs [Complete Assembly],2,970c00
Brown,Minifig Hood / Cowl / Farmer's Cap,1,4505
Brown,"Wheel Wagon Large (33mm D.), Round Hole For Wheel Holder Pin",4,4489a
Light Gray,Hips and Legs [Complete Assembly],1,970c00
Light Gray,Torso Castle Forestman Tie Shirt and Purse Print / Blue Arms / Yellow Hands,3,973p46c02
Light Gray,"Turntable 2 x 2 Plate, Top",1,3679
White,"Horse with Black Eyes, White Pupils, Brown Bridle Print [Complete Assembly]",1,75998pr0007
Yellow,Brick 2 x 2,2,3003
Yellow,Brick 2 x 4,1,3001
Yellow,Minifig Head Standard Grin Print - Solid Stud,3,3626ap01
