color,part,quantity,part_id
Aqua,Brick 1 x 1,1,3005
Black,"Brick 1 x 4 x 1 1/3 No Studs, Curved Top",1,6191
Black,"Brick 2 x 2 No Studs, Sloped with 3 Side Pistons Raised",5,30603
Black,Fence 1 x 4 x 2,5,3185
Black,Picket Fence 1 x 4 x 2,1,33303
Blue,Brick Round 1 x 1 Open Stud,3,3062b
Blue,Brick Round Corner 2 x 2 [Macaroni],2,3063
Blue,Panel 1 x 2 x 2 [Hollow Studs],3,4864b
Blue,Plate 1 x 8,4,3460
Blue,Slope 18º 4 x 2,2,30363
Blue,Slope 33º 2 x 2 Double,1,3300
Blue,Slope 33º 2 x 4 Double,1,3299
Blue,Slope 33º 3 x 4,1,3297
Blue,"Slope Curved 2 x 2 Lip, No Studs",1,30602
Blue,Tile 1 x 8,2,4162
Blue-Violet,Brick 2 x 4,1,3001
Blue-Violet,Slope 33º 3 x 1,2,4286
Blue-Violet,"Slope Curved 2 x 2 Lip, No Studs",2,30602
Bright Green,Minifig Head [Plain - Hollow Stud],2,3626b
Bright Green,Plate 1 x 4,1,3710
Bright Light Blue,Brick 2 x 4,1,3001
Bright Pink,Brick 2 x 4,4,3001
Brown,Brick 1 x 1,6,3005
Brown,Brick 2 x 3,1,3002
Brown,Plate 1 x 3,4,3623
Brown,Plate 1 x 4,1,3710
Brown,Plate 1 x 8,1,3460
Brown,Plate 2 x 8,1,3034
Brown,Slope 45º 2 x 1 Triple,2,3048
Brown,Slope Inverted 45° 4 x 2 Double,1,4871
Brown,Tile 1 x 4,3,2431
Brown,Tile 1 x 6,1,6636
Brown,Tile 2 x 2 with Groove,3,3068b
Brown,Wedge 4 x 4 Triple Inverted,1,4855
Dark Blue,Brick Round 1 x 1 Open Stud,2,3062b
Dark Blue,Brick Special 1 x 1 with Headlight,3,4070
Dark Blue,Plate 1 x 4,2,3710
Dark Blue,Slope 33º 3 x 2,1,3298
Dark Blue,Slope 45º 2 x 1,1,3040b
Dark Bluish Gray,Brick Arch 1 x 3,2,4490
Dark Bluish Gray,Brick Round Corner 2 x 2 [Macaroni],1,3063
Dark Bluish Gray,Brick Special 1 x 1 with Headlight,5,4070
Dark Bluish Gray,Brick Special 1 x 2 Palisade [aka Log],4,30136
Dark Bluish Gray,Minifig Head [Plain - Hollow Stud],1,3626b
Dark Bluish Gray,Plate 3 x 3 Cut Corner,1,2450
Dark Bluish Gray,"Plate, Round Corner 3 x 3",2,30357
Dark Bluish Gray,Slope 33º 2 x 2 Double,1,3300
Dark Bluish Gray,Slope 45° 2 x 2 Double Convex,3,3045
Dark Gray,Brick 1 x 8,1,3008
Dark Gray,Brick 2 x 2 Corner,1,2357
Dark Gray,Brick 2 x 6,1,2456
