color,part,quantity,part_id
Black,Fence Gate 1 x 3 x 2,2,3358
Black,Fence Gate 1 x 3 x 2 Base,2,3359
Black,Plate 2 x 2,1,3022
Black,Plate 2 x 8,1,3034
Black,Plate Special 2 x 2 with Wheels Red,2,122c01
Black,Tyre Offset Tread Small,4,3641
Blue,Brick 1 x 2,6,3004
Blue,Plate 2 x 3,1,3021
Blue,Plate 2 x 4,2,3020
Blue,Plate 4 x 8,1,3035
Blue,Plate 6 x 6,1,3958
Blue,Slope 33º 2 x 2 Double,1,3300
Blue,Slope 33º 2 x 4 Double,1,3299
Blue,Slope 33º 3 x 2,6,3298
Blue,Slope 33º 3 x 4,6,3297
Light Gray,Baseplate 8 x 24,1,3497
Light Gray,Tile 1 x 2 with Groove,5,3069b
Red,Brick 1 x 1,2,3005
Red,Brick 1 x 2,16,3004
Red,Brick 1 x 3,11,3622
Red,Brick 1 x 4,4,3010
Red,Mudguard 2 x 4 [Studded],1,3788
Red,Plate 1 x 2,3,3023
Red,Plate 1 x 3,2,3623
Red,Plate 1 x 4,4,3710
Red,Plate 1 x 8,1,3460
Red,Plate 2 x 6,2,3795
Red,Slope Inverted 33º 3 x 2 [Connections between Studs],1,3747b
Red,Slope Inverted 45º 2 x 2,2,3660
Red,Vehicle Base 4 x 5,1,4211
Red,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
Trans-Clear,Windscreen 2 x 4 x 2,1,3823
Trans-Yellow,Plate 1 x 1,2,3024
Unknown,"Post Office - Black Legs, Black Hat",1,post001
White,Brick 2 x 2,3,3003
White,Door 1 x 4 x 5 Right with Trans-Clear Glass,1,73435c01
White,FLAT TILE 1X2 LETTER,6,3069bpr0099
White,Window 1 x 4 x 5 with Fixed Glass,2,4347
Yellow,Brick 1 x 2,5,3004
Yellow,Brick 1 x 3,2,3622
Yellow,Brick 1 x 4,3,3010
Yellow,Brick Special 1 x 1 with Headlight,2,4070
Yellow,Container Box  2 x  2 x  2 Door with Slot and Mailbox Print,2,4346p03
Yellow,Container Box  2 x  2 x  2 Solid Studs with Mailbox Print,2,4345ap03
Yellow,Door 1 x 3 x 1 Left,1,3822
Yellow,Door 1 x 3 x 1 Right,1,3821
Yellow,Hinge Vehicle Roof 4 x 4,1,4213
Yellow,Hinge Vehicle Roof Holder 1 x 4 x 2,1,4214
Yellow,Minifig Seat 2 x 2,1,4079
Yellow,Plate 1 x 2,1,3023
