color,part,quantity,part_id
Blue,Brick Round 1 x 1 [No Bottom Groove],4,3062straight
Green,"Plant, Tree Flat Cypress painted with solid base (1950's version)",1,ftcyp1
Green,"Plant, Tree Flat Elm painted with solid base",1,ftelm
Light Gray,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support (early Baseplate)",2,700ex
Red,Brick 1 x 1,4,3005
Red,Brick 1 x 2 [No Bottom Tube],15,3065
Red,Brick 2 x 10,2,3006
Red,Brick 2 x 2,20,3003
Red,Brick 2 x 3 without Cross Supports,18,3002old
Red,Brick 2 x 4 without Cross Supports,42,3001old
Red,Brick 2 x 8,2,3007
Red,Brick 4 x 4 Corner,1,702
Red,Brick Round 1 x 1 [No Bottom Groove],4,3062straight
Red,Door 1 x 2 x 3 Left [Old Style with Glass],1,32bc01
Red,Window 1 x 1 x 1 Classic with Long Sill [Complete],1,3087bc01
Red,"Window 1 x 1 x 2 (old type) with Extended Lip, with Glass",1,29bc01
Red,"Window 1 x 2 x 1 (old type) with Extended Lip, with Glass",1,27bc01
Red,"Window 1 x 2 x 2 (old type) with Extended Lip, with Glass, Hole in Top",1,7026bc01
Red,"Window 1 x 3 x 2 (old type) with Extended Lip, with Glass",1,31bc01
Red,"Window 1 x 4 x 2 (old type) with Extended Lip, with Glass",1,453bc01
Red,Window 1 x 6 x 2 [Old Style Extended Lip &amp; Glass],1,645bc01
Red,Window 1 x 6 x 2 with Shutters [Old Style Extended Lip &amp; Glass],1,646bc01
Red,Window 1 x 6 x 3 Panorama with Glass,1,604c01
Trans-Clear,Brick 1 x 2 [No Bottom Tube],5,3065
Trans-Clear,Brick 2 x 2,2,3003
Trans-Clear,Brick 2 x 4 without Cross Supports,4,3001old
White,Brick 1 x 1,4,3005
White,Brick 1 x 2 [No Bottom Tube],15,3065
White,Brick 1 x 6 without Bottom Tubes with Cross Side Supports with Blue 'HOTEL' Thick Print,1,crssprt02pb26
White,Brick 1 x 6 without Bottom Tubes with Cross Side Supports with Red 'POSTERIJEN' Bold Print,1,crssprt02pb40
White,Brick 1 x 8 without Bottom Tubes with Cross Side Supports with Blue 'ESSO SERVICE' Long Print,1,crssprt01pb14
White,Brick 1 x 8 without Bottom Tubes with Cross Side Supports with Red 'Grand Theater' Bold Print,1,crssprt01pb07
White,Brick 2 x 10,2,3006
White,Brick 2 x 2,18,3003
White,Brick 2 x 3 without Cross Supports,17,3002old
White,Brick 2 x 4 without Cross Supports,38,3001old
White,Brick 2 x 8,2,3007
White,Brick 4 x 4 Corner,1,702
White,Brick Round 1 x 1 [No Bottom Groove],4,3062straight
White,Plate 4 x 8 with Waffle Bottom,2,3035old
