color,part,quantity,part_id
Blue,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Bright Green,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Green,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Light Green,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Medium Blue,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Medium Orange,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Red,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Trans-Clear,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
White,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
Yellow,"Brick 2 x 4 without Bottom Tubes, Slotted (with 1 slot)",1,bslot04
