color,part,quantity,part_id
(No Color),Wooden Storage Box with Plain Sliding Top and LEGO Logo,1,wood04
Black,Brick 1 x 1,2,3005
Black,Brick 1 x 2 [No Bottom Tube],2,3065
Black,Brick 2 x 2,5,3003
Black,Brick 2 x 3 without Cross Supports,2,3002old
Black,Brick 2 x 4 without Cross Supports,5,3001old
Black,Brick Round Corner 2 x 2 [Macaroni],4,3063
Blue,Brick 1 x 1,3,3005
Blue,Brick 1 x 2 [No Bottom Tube],3,3065
Blue,Brick 2 x 2,5,3003
Blue,Brick 2 x 3 without Cross Supports,3,3002old
Blue,Brick 2 x 4 without Cross Supports,10,3001old
Blue,Brick Round 1 x 1 [No Bottom Groove],2,3062straight
Blue,Brick Round Corner 2 x 2 [Macaroni],4,3063
Blue,Slope 45° 2 x 2 Double,2,3043
Blue,Slope 45° 2 x 4 Double,2,3041
Blue,Slope 45º 2 x 2,8,3039
Blue,Slope 45º 2 x 4,8,3037
Green,"Brick 10 x 20 without Bottom Tubes, with '+' Cross Support (early Baseplate)",2,700ex
Red,Brick 1 x 1,15,3005
Red,Brick 1 x 2 [No Bottom Tube],10,3065
Red,Brick 2 x 10,6,3006
Red,Brick 2 x 2,20,3003
Red,Brick 2 x 3 without Cross Supports,12,3002old
Red,Brick 2 x 4 without Cross Supports,60,3001old
Red,Brick 2 x 8,6,3007
Red,Brick Round 1 x 1 [No Bottom Groove],10,3062straight
Red,Brick Round Corner 2 x 2 [Macaroni],20,3063
Red,Garage Door Solid Assembly - Old (Hinge Pin on Counterweights - One Side),1,822ac01
Trans-Clear,Brick 1 x 1,2,3005
Trans-Clear,Brick 1 x 2 [No Bottom Tube],2,3065
Trans-Clear,Brick 2 x 2,5,3003
Trans-Clear,Brick 2 x 3 without Cross Supports,2,3002old
Trans-Clear,Brick 2 x 4 without Cross Supports,5,3001old
Trans-Clear,Brick Round Corner 2 x 2 [Macaroni],10,3063
White,Brick 1 x 1,15,3005
White,Brick 1 x 2 [No Bottom Tube],10,3065
White,"Brick 1 x 6 No Bottom Tubes, with Cross Supports",3,crssprt02
White,"Brick 1 x 8 No Bottom Tubes, with Cross Supports",3,crssprt01
White,Brick 2 x 10,6,3006
White,Brick 2 x 2,20,3003
White,Brick 2 x 3 without Cross Supports,12,3002old
White,Brick 2 x 4 without Cross Supports,60,3001old
White,Brick 2 x 8,6,3007
White,Brick Round 1 x 1 [No Bottom Groove],10,3062straight
White,Brick Round Corner 2 x 2 [Macaroni],20,3063
White,Garage Door Frame (Old style),1,821
White,Garage Floor Plate (Old style),1,820
White,Plate 2 x 8 with Waffle Bottom,6,3034old
White,Plate 4 x 8 with Waffle Bottom,6,3035old
White,Plate 6 x 8 [Waffle Bottom],4,3036old
White,Plate Round Curved 4 x 8 Left with Waffle Bottom,2,712old
White,Plate Round Curved 4 x 8 Right with Waffle Bottom,2,713old
Yellow,Brick 1 x 1,3,3005
Yellow,Brick 1 x 2 [No Bottom Tube],3,3065
Yellow,Brick 2 x 2,5,3003
Yellow,Brick 2 x 3 without Cross Supports,3,3002old
Yellow,Brick 2 x 4 without Cross Supports,10,3001old
Yellow,Brick Round 1 x 1 [No Bottom Groove],2,3062straight
Yellow,Brick Round Corner 2 x 2 [Macaroni],4,3063
