color,part,quantity,part_id
Black,Plate 1 x 3,2,3623
Black,Plate 1 x 4,2,3710
Black,Plate 2 x 2,4,3022
Black,Plate 2 x 3,2,3021
Black,Plate Special 2 x 2 with Pin Hole,2,2444
Black,String Cord Thin 50cm,1,x77ac50
Black,Technic Axle 4,10,3705
Black,Technic Axle 6,3,3706
Black,Technic Axle Connector [Smooth X hole + orientation],10,6538c
Black,Technic Axle and Pin Connector Angled #1,14,32013
Black,Technic Axle and Pin Connector Angled #2 - 180°,9,32034
Black,Technic Axle and Pin Connector Perpendicular 3L with Pin Hole,2,32068
Black,Technic Axle and Pin Connector Perpendicular Double Split,4,41678
Black,Technic Beam 1 x 13 Thick,1,41239
Black,Technic Beam 1 x 15 Thick,3,32278
Black,Technic Beam 1 x 2 Thick with Pin Hole and Axle Hole,14,60483
Black,Technic Beam 1 x 3 Thin,10,6632
Black,Technic Beam 1 x 3 with 2 Axle Holes and Pin / Crank,2,33299
Black,Technic Beam 1 x 7 Thick,1,32524
Black,Technic Beam 1 x 7 Thick,3,32524
Black,Technic Beam 1 x 9 Thick,5,40490
Black,Technic Beam 3 x 3 T-Shape Thick,5,60484
Black,Technic Beam 3 x 5 L-Shape Thick,16,32526
Black,Technic Brick 1 x 2 [2 Holes],4,32000
Black,Technic Gear 12 Tooth Double Bevel,7,32270
Black,Technic Gear 20 Tooth Double Bevel,1,32269
Black,Technic Gear Rack 1 x 13 with Axle and Pin Holes,2,64781
Black,Technic Gear Rack 1 x 7 with Axle and Pin Holes,1,87761
Black,Technic Panel 1 x 5 x 11,6,64782
Black,Technic Pin Double with Axle Hole,5,32138
Black,Technic Pin with Friction Ridges Lengthwise and Towball,1,6628
Black,Technic Pin with Friction and Slots,179,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,"Technic, Pin Long with Friction Ridges Lengthwise and Stop Bush",25,32054
Black,Tile 1 x 2 Grill with Bottom Groove,8,2412b
Black,Tyre 43.2 x 22 ZR,6,44309
Black,Wedge Plate 3 x 2 Left,1,43723
Black,Wedge Plate 3 x 2 Right,1,43722
Blue,Technic Axle Pin with Friction Ridges Lengthwise,47,43093
Blue,Technic Beam 3 x 5 L-Shape Thick,4,32526
Blue,Technic Pin Long with Friction Ridges Lengthwise,68,6558
Dark Bluish Gray,Hook with Towball,1,30395
Dark Bluish Gray,Technic Axle 4 with Stop,2,87083
Dark Bluish Gray,Technic Axle 5.5 With Stop,7,32209
Dark Bluish Gray,Technic Axle 8 with Stop,1,55013
Dark Bluish Gray,Technic Axle and Pin Connector Perpendicular,7,6536
Dark Bluish Gray,Technic Axle and Pin Connector Perpendicular 3L with 2 Pin Holes,15,42003
Dark Bluish Gray,Technic Beam 1 x 13 Thick,2,41239
Dark Bluish Gray,Technic Gear 24 Tooth [New Style with Single Axle Hole],1,3648
Dark Bluish Gray,Technic Gear 8 Tooth,1,3647
Dark Tan,Technic Axle 3 with Stud,2,6587
Light Bluish Gray,9V Battery Box [Orange Polarity Switch / Dark Bluish Gray Hatches],1,58119
Light Bluish Gray,9V Medium Motor 3 x 6 x 3 [Dark Bluish Gray Bottom / 21cm Wire],1,58120
Light Bluish Gray,Plate Round 2 x 2 with Axle Hole,4,4032
Light Bluish Gray,String Reel 2 x 1 x 2 Drum with Axle Hole,1,61510
Light Bluish Gray,Technic Axle 3,26,4519
Light Bluish Gray,Technic Axle 5,17,32073
Light Bluish Gray,Technic Axle 7,6,44294
Light Bluish Gray,Technic Axle 9,3,60485
Light Bluish Gray,Technic Axle Connector [Smooth X hole + orientation],4,6538c
Light Bluish Gray,Technic Axle Connector with Axle Hole,4,32039
Light Bluish Gray,Technic Axle and Pin Connector Angled #6 - 90°,4,32014
Light Bluish Gray,Technic Axle and Pin Connector Perpendicular 3L with Centre Pin Hole,3,32184
Light Bluish Gray,Technic Axle and Pin Connector Perpendicular Double,4,32291
Light Bluish Gray,Technic Axle and Pin Connector Perpendicular Triple,1,63869
Light Bluish Gray,Technic Beam 1 x 11 Thick,4,32525
Light Bluish Gray,Technic Beam 1 x 15 Thick,10,32278
Light Bluish Gray,Technic Beam 1 x 2 Thick,4,43857
Light Bluish Gray,Technic Beam 1 x 2 Thick,2,43857
Light Bluish Gray,Technic Beam 1 x 2 Thin,8,41677
Light Bluish Gray,Technic Beam 1 x 5 Thick,5,32316
Light Bluish Gray,Technic Beam 2 x 4 L-Shape Thick,10,32140
Light Bluish Gray,Technic Beam 3 x 3 L-Shape Thin,8,32056
Light Bluish Gray,Technic Beam 5 x 11 Open Center Frame Thick,1,64178
Light Bluish Gray,Technic Brick 1 x 2 with Axle Hole [X Opening],3,32064b
Light Bluish Gray,Technic Bush,21,3713
Light Bluish Gray,Technic Bush 1/2 Smooth,17,4265c
Light Bluish Gray,Technic Gear 16 Tooth with Round Holes [Old Style],2,4019
Light Bluish Gray,Technic Pin 1/2,12,4274
Light Bluish Gray,Technic Pin Connector Perpendicular 3L with 4 Pins,2,48989
Light Bluish Gray,Technic Pin Long with Friction Ridges Lengthwise and Centre Pin Hole,3,87082
Light Bluish Gray,Technic Steering Wheel Small [3 Studs Diameter],1,2819
Light Bluish Gray,"Technic, Gear Worm Screw",1,4716
Light Bluish Gray,"Wheel 30.4mm D. x 20mm without Pinholes, with Reinforced Rim",6,56145
Red,Plate 2 x 3,2,3021
Red,Plate 4 x 8,1,3035
Red,Technic Axle 2 Notched,25,32062
Red,Technic Axle Connector with Axle Hole,4,32039
Red,Technic Axle and Pin Connector Perpendicular,2,6536
Red,Technic Beam 1 x 11 Thick,4,32525
Red,Technic Beam 1 x 11.5 Double Bent Thick,4,32009
Red,Technic Beam 1 x 13 Thick,2,41239
Red,Technic Beam 1 x 15 Thick,2,32278
Red,Technic Beam 1 x 3 Thick,2,32523
Red,Technic Beam 1 x 5 Thick,4,32316
Red,Technic Beam 1 x 9 Bent (7 - 3) Thick,2,32271
Red,Technic Beam 1 x 9 Thick,4,40490
Red,Technic Beam 2 x 4 L-Shape Thick,4,32140
Red,Technic Beam 3 x 3 L-Shape with Quarter Ellipse Thin,8,32249
Red,Technic Beam 3 x 5 L-Shape Thick,6,32526
Red,"Technic Fairing # 1 Small Smooth Short, Side A",1,87080
Red,"Technic Fairing # 2 Small Smooth Short, Side B",1,87086
Red,Technic Panel Curved 11 x 3,2,62531
Red,Wedge Plate 3 x 2 Left,1,43723
Red,Wedge Plate 3 x 2 Right,1,43722
Tan,Technic Axle Pin without Friction Ridges Lengthwise,4,3749
Tan,Technic Gear 20 Tooth Double Bevel,1,32269
Tan,Technic Pin Long without Friction Ridges,7,32556
Trans-Clear,Plate 1 x 1,2,3024
Trans-Clear,Plate 1 x 2,4,3023
Trans-Clear,Plate Round 1 x 1 Straight Side,4,4073
Trans-Clear,Plate Round 2 x 2 with Rounded Bottom [Boat Stud],2,2654
Trans-Clear,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],4,50746
Trans-Orange,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],4,50746
Trans-Red,Plate 1 x 2,4,3023
White,Technic Gear 24 Tooth Clutch,1,60c01
White,Technic Rubber Belt 15mm Diameter,1,85543
Yellow,Technic Beam 1 x 13 Thick,2,41239
Yellow,Technic Beam 1 x 15 Thick,2,32278
Yellow,Technic Beam 1 x 3 Thick,14,32523
Yellow,Technic Beam 1 x 7 Thick,5,32524
Yellow,Technic Beam 1 x 9 Thick,6,40490
Yellow,Technic Beam 2 x 4 L-Shape Thick,2,32140
Yellow,Technic Beam 3 x 5 L-Shape Thick,2,32526
Yellow,Technic Knob Wheel,2,32072
