color,part,quantity,part_id
Black,Plate 4 x 10,1,3030
Black,Technic Axle 10,1,3737
Black,Technic Axle 10,1,3737
Black,Technic Axle 10,1,3737
Black,Technic Axle 12,1,3708
Black,Technic Axle 12,1,3708
Black,Technic Axle 4,1,3705
Black,Technic Axle 4,1,3705
Black,Technic Axle 4,1,3705
Black,Technic Axle 4,2,3705
Black,Technic Axle 4,4,3705
Black,Technic Axle 4,1,3705
Black,Technic Axle 4,1,3705
Black,Technic Axle 4,2,3705
Black,Technic Axle 4,2,3705
Black,Technic Axle 4,1,3705
Black,Technic Axle 4,2,3705
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 6,1,3706
Black,Technic Axle 8,1,3707
Black,Technic Axle and Pin Connector Angled #1,1,32013
Black,Technic Axle and Pin Connector Angled #1,2,32013
Black,Technic Axle and Pin Connector Angled #1,1,32013
Black,Technic Axle and Pin Connector Angled #2 - 180°,1,32034
Black,Technic Axle and Pin Connector Angled #2 - 180°,1,32034
Black,Technic Axle and Pin Connector Perpendicular,2,6536
Black,Technic Axle and Pin Connector Perpendicular,4,6536
Black,Technic Axle and Pin Connector Perpendicular,4,6536
Black,Technic Axle and Pin Connector Perpendicular,4,6536
Black,Technic Axle and Pin Connector Perpendicular,8,6536
Black,Technic Axle and Pin Connector Perpendicular,1,6536
Black,Technic Axle and Pin Connector Perpendicular,1,6536
Black,Technic Beam 1 x 13 Thick,1,41239
Black,Technic Beam 1 x 15 Thick,1,32278
Black,Technic Beam 1 x 15 Thick,1,32278
Black,Technic Beam 1 x 15 Thick,1,32278
Black,Technic Beam 1 x 3 Thick,2,32523
Black,Technic Beam 1 x 3 Thick,2,32523
Black,Technic Beam 1 x 3 Thick,2,32523
Black,Technic Beam 1 x 3 Thick,8,32523
Black,Technic Beam 1 x 3 Thick,1,32523
Black,Technic Beam 1 x 3 Thick,1,32523
Black,Technic Beam 1 x 3 with 2 Axle Holes and Pin / Crank,2,33299
Black,Technic Beam 1 x 3 with 2 Axle Holes and Pin / Crank,2,33299
Black,Technic Beam 1 x 4 Thin,1,32449
Black,Technic Beam 1 x 4 Thin,1,32449
Black,Technic Beam 1 x 4 Thin,2,32449
Black,Technic Beam 1 x 4 Thin,1,32449
Black,Technic Beam 1 x 4 Thin,1,32449
Black,Technic Beam 1 x 5 Thick,2,32316
Black,Technic Beam 1 x 5 Thick,2,32316
Black,Technic Beam 1 x 9 Bent (6 - 4) Thick,1,6629
Black,Technic Beam 1 x 9 Bent (6 - 4) Thick,1,6629
Black,Technic Beam 1 x 9 Bent (6 - 4) Thick,1,6629
Black,Technic Beam 1 x 9 Bent (6 - 4) Thick,1,6629
Black,Technic Beam 3 x 3 L-Shape Thin,4,32056
Black,Technic Beam 3 x 3 T-Shape Thick,2,60484
Black,Technic Beam 3 x 3 T-Shape Thick,1,60484
Black,Technic Beam 3 x 3 T-Shape Thick,1,60484
Black,Technic Beam 3 x 5 L-Shape Thick,2,32526
Black,Technic Beam 3 x 5 L-Shape Thick,1,32526
Black,Technic Beam 3 x 5 L-Shape Thick,1,32526
Black,Technic Beam 3 x 5 L-Shape Thick,1,32526
Black,Technic Beam 3 x 5 L-Shape Thick,1,32526
Black,Technic Beam 3 x 5 L-Shape Thick,1,32526
Black,Technic Beam 3 x 5 L-Shape Thick,1,32526
Black,Technic Brick 1 x 2 with Axle Hole [X Opening],2,32064b
Black,Technic Gear 12 Tooth Double Bevel,1,32270
Black,Technic Gear 12 Tooth Double Bevel,1,32270
Black,Technic Gear 12 Tooth Double Bevel,2,32270
Black,Technic Gear 12 Tooth Double Bevel,2,32270
Black,Technic Gear 12 Tooth Double Bevel,1,32270
Black,Technic Gear 12 Tooth Double Bevel,1,32270
Black,Technic Gear 12 Tooth Double Bevel,1,32270
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,6,2780
Black,Technic Pin with Friction and Slots,3,2780
Black,Technic Pin with Friction and Slots,3,2780
Black,Technic Pin with Friction and Slots,3,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,3,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,6,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,3,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,8,2780
Black,Technic Pin with Friction and Slots,4,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,4,2780
Black,Technic Pin with Friction and Slots,8,2780
Black,Technic Pin with Friction and Slots,7,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,6,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,4,2780
Black,Technic Pin with Friction and Slots,4,2780
Black,Technic Pin with Friction and Slots,2,2780
Black,Technic Pin with Friction and Slots,6,2780
Black,Technic Pin with Friction and Slots,1,2780
Black,Technic Pin with Friction and Slots,4,2780
Black,"Technic, Pin Long with Friction Ridges Lengthwise and Stop Bush",1,32054
Black,"Technic, Pin Long with Friction Ridges Lengthwise and Stop Bush",1,32054
Black,Tyre 62.4 x 20,4,32019
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,2,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,2,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,2,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,2,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,2,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,2,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,1,43093
Blue,Technic Axle Pin with Friction Ridges Lengthwise,4,43093
