color,part,quantity,part_id
Black,Cylinder 1 x 5 1/2 with Handle (friction cylinder),1,87617
Black,Plate Special 1 x 2 with Clips Horizontal,2,60470
Black,Plate Special 2 x 2 with Wheel Holder,4,4488
Black,Tyre Offset Tread Small Wide [Centre Band],4,87697
Blue,Plate 1 x 2,11,3023
Blue,Plate 2 x 4,3,3020
Blue,Tile 1 x 6,5,6636
Blue,"Vehicle, Brush",2,2473
Blue,"Vehicle, Steering Column 1 x 2 with Black Steering Wheel",1,3829c01
Dark Bluish Gray,Brick 1 x 2 x 1 1/3 with Curved Top,6,6091
Dark Bluish Gray,Brick 2 x 2 Curved Top with Two Top Studs,2,30165
Dark Bluish Gray,Hinge Plate 1 x 2 Locking with 1 Finger on Side,4,44567
Dark Bluish Gray,Mudguard 4 x 2 1/2 x 2 with Arch Round,4,50745
Dark Bluish Gray,Plate 6 x 6,2,3958
Dark Bluish Gray,Slope 30º 1 x 1 x 2/3 [aka Cheese Slope],2,50746
Dark Bluish Gray,Technic Brick 1 x 2 [1 Hole],2,3700
Dark Bluish Gray,Tile 1 x 2 with Groove,5,3069b
Dark Bluish Gray,Tile 1 x 4,1,2431
Dark Tan,Technic Axle 3 with Stud,2,6587
Light Bluish Gray,Brick 2 x 2,1,3003
Light Bluish Gray,Plate 1 x 2 [Side Handle Closed Ends],2,48336
Light Bluish Gray,Plate 2 x 10,2,3832
Light Bluish Gray,Plate 2 x 6,5,3795
Light Bluish Gray,Technic Beam 1 x 3 with 2 Axle Holes and Pin / Crank,2,33299
Light Bluish Gray,Wheel 11.5mm D. x 12mm [Hole Notched for Wheel Snap Pin],4,6014b
Orange,Brick 1 x 6,5,3009
Orange,Door 1 x 3 x 1 Left,1,3822
Orange,Door 1 x 3 x 1 Right,1,3821
Orange,Panel 1 x 4 x 1,2,30413
Orange,Plate 1 x 6,1,3666
Orange,Slope 75º 2 x 1 x 3 [Undetermined Type],2,4460
Orange,Wedge 4 x 6 x 2/3 Triple Curved,1,52031
Red,"Brick Curved 2 x 2 x 2/3 Two Studs, Curved Slope End",6,47457
Red,Brick Special 1 x 1 with Stud on 1 Side,4,87087
Reddish Brown,Minifig Broom,1,3836
Trans-Black,Windscreen 2 x 6 x 2,2,4176
Trans-Clear,Plate 1 x 1,2,3024
Trans-Orange,Plate Round 1 x 1 Straight Side,6,4073
Trans-Red,Plate Round 1 x 1 Straight Side,2,4073
White,Bracket 1 x 2 - 2 x 2,2,44728
White,Brick Arch 1 x 3 x 2 Curved Top,4,6005
White,Plate Special 1 x 1 with Clip Vertical [Thick U Clip],2,4085c
White,Plate Special 1 x 2 with Door Rail,6,32028
White,Slope 45° 4 x 4 Double with Locking Hinge,2,44571
White,Tile 1 x 6,2,6636
Yellow,Plate 1 x 4,3,3710
